Full Name	Short Name
acetyl-CoA carboxylase subunit beta	accD
acetyl-CoA carboxylase carboxyltransferase beta	accD
acetyl-CoA carboxylase, carboxyl transferase subunit beta	accD
acetyl-CoA carboxylase carboxyl transferase subunit beta	accD
acetyl-CoA carboxylase carboxyltransferase subunit beta	accD
acetyl-CoA carboxylase carboxyl transferase beta	accD
Acetyl-CoA carboxylase carboxyltransferase beta subunit	accD
carboxytransferase beta subunit	accD
acetyl-CoA carboxylase, carboxyl transferasesubunit beta	accD
acetyl-coenzyme A carboxylase carboxyl	accD
acetyl-CoA carboxylase carboxyltransferase beta subunit protein	accD
acetyl-CoA carboxyltransferase beta subunit	accD
acetyl-coenzyme A carboxylase carboxyltransferase subunit beta	accD
Acetyl-CoA carboxylase carboxyl transferase beta subunit	accD
acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	accD
acetyl-CoA carboxylase carboxyl transferase betasubunit	accD
acetylCoA carboxylase, carboxyl transferase subunit beta	accD
acetyl-CoA carboxlyase carboxyltransferase beta subunit	accD
Acetyl-coenzyme A carboxylase carboxyl transferasesubunit beta	accD
acetyl-CoA caboxylase beta subunit	accD
Acetyl-CoA carboxylase beta subunit	accD
accD protein	accD
acetyl-CoA carboxytransferase subunit beta	accD
acetyl-CoA carboxylase carboxyltransferase beta#bunit	accD
acetyl-CoA carboxylase carbosyltransferase beta subunit	accD
acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic	accD
acetyl-coenzyme A carboxylase beta subunit	accD
acetyl-CoA carboxyltransferase subunit beta	accD
cetyl-coenzyme A carboxylase carboxyl transferase subunit beta	accD
accD	accD
AccD; acetyl-CoA carboxylase beta subunit	accD
beta-carboxyltransferase subunit	accD
Acetyl-CoA carboxylasecarboxyl transferase beta subunit	accD
Acetyl-CoAcarboxylase carboxyl transferase beta subunit	accD
acetyl-CoA carboxylase 1	accD
Acetyl-CoA carboxylase subunit	accD
beta subunit of acetyl-CoA carboxylase carboxytransferase	accD
Acetyl-o A carboxylase carboxyl transferase beta subunit	accD
'acetyl-CoA carboxylase carboxyltransferase beta	accD
Acetyle-CoA carboxylase beta subunit	accD
acetyl-CoAcarboxylase carboxyltransferase beta subunit	accD
acetyl-CoA carboxylase arboxyltransferase beta subunit	accD
truncated acetyl-CoA carboxylase beta subunit	accD
acetyl- CoAcarboxylasecarboxyltransferasebetasubunit	accD
acetyl-CoA carboxylase	accD
acetyl-CoA carboxylase carboxyl transferase	accD
acetyl-CoA carboxylase carboxyl transferase subunit	accD
Acetyl-CoA carboxylase carboxyltransferase betasubunit	accD
acetyl-CoA carboxylase carboxy l transferase beta subunit	accD
acetyl-coenzyme A decarboxylase	accD
acetyl-carboxylase beta subunit	accD
putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta-like protein	accD
cetyl-CoA carboxylase carboxyltransferase beta subunit	accD
acetyl-CoA carboxylase carboxytransferase beta subunit	accD
acetyl-CoA carb oxylase carboxyl transferase beta	accD
Acetyl-CoA carboxylase carboxyltransferase subuni t beta	accD
carboxytransferase beta subuni	accD
NiTa acetyl-CoA carboxylase beta subunit-like protein	accD
acetyl-CoA carboxylase beta subunit-like protein	accD
acetyl CoA carboxylase	accD
acetyl CoA carboxylase beta subunit	accD
beta-carboxyl transferase subunit of acetyl-CoA carboxylase	accD
acetyl-CoA carboxylase beta subuni	accD
acetyl-CoA carboxylase-D	accD
