Full Name	Short Name
CF1 subunit alpha	atpA
ATP synthase alpha chain	atpA
ATP synthase CF1 subunit alpha	atpA
ATPase alpha subunit	atpA
ATP synthase CF1 alpha chain	atpA
ATP synthase alpha subunit	atpA
ATP synthase F0 subunit A	atpA
ATP synthase subunit alpha	atpA
ATP systhase CF1 alpha subunit	atpA
atpA	atpA
ATP synthase CF1 alpha	atpA
ATPsynthaseCF1 alpha subunit	atpA
ATP synthase CF1, subunit alpha	atpA
CF1 alpha subunit	atpA
AT Psynthase CF1 alpha subunit	atpA
atpA protein	atpA
ATP synthase CF1 alph a subunit	atpA
ATPsynthase CF1 alpha subunit	atpA
ATP synthase CF 1 subunit alpha	atpA
ATP synthase CF1alpha subunit	atpA
AtpA; ATP synthase CF1 alpha subunit	atpA
CF1 alpha subunit of ATP synthase	atpA
ATP synthase subunit CF1 alpha subunit	atpA
ATP synthase CF1 alpha protein	atpA
H+-ATPase alpha subunit	atpA
ATPase subunit alpha	atpA
ATP synthase subunit CF1 alpha	atpA
ATP synthase subunit alpha, chloroplastic (EC:7.1 .2.2)	atpA
ATP synthase subunit alpha subunit	atpA
ATP-synthase CF1 alpha subunit	atpA
putative ATP synthase CF1 alpha subunit	atpA
ATP Synthase CF1 alpha subunit	atpA
F1-ATPase alpha-subunit	atpA
