Full Name	Short Name
CF1 subunit beta	atpB
ATP synthase beta chain	atpB
ATP synthase CF1 subunit beta	atpB
ATPase beta subunit	atpB
ATP synthase beta subunit	atpB
ATP synthase CF1 beta chain	atpB
ATP synthase F0 subunit B	atpB
ATP synthase subunit beta	atpB
ATP synthaes CF11 beta subunit	atpB
ATP synthase CF1beta subunit	atpB
atpB	atpB
ATPsynthaseCF1betasubunit	atpB
ATP synthase CF1, subunit beta	atpB
F-type H+/Na+-transporting ATPase subunit beta	atpB
ATPsynthase CF1 beta subunit	atpB
atpB protein	atpB
ATPase beta chain	atpB
ATP synthase CF 1 subunit beta	atpB
AtpB; ATP synthase CF1 beta subunit	atpB
CF1 beta subunit of ATP synthase	atpB
ATP synthase CF1 betas ubunit	atpB
ATP synthase subunit CF1 beta subunit	atpB
ATP synthase CF1 beta protein	atpB
ATP syntase CF1 beta subunit	atpB
H+-ATP synthase subunit B	atpB
H+-ATPase beta subunit	atpB
ATP synthase cf1 beta subunit	atpB
CF1 beta subunit	atpB
ATP synthase subunit beta, chloroplastic (EC:7.1. 2.2)	atpB
ATP synthase CF1 beta subuni	atpB
ATP-synthase CF1 beta subunit	atpB
