Full Name	Short Name
CF1 subunit epsilon	atpE
ATP synthase CF1 epsilon chain	atpE
ATP synthase CF1 subunit epsilon	atpE
atp synthase CF1 epsilon subunit	atpE
ATPase epsilon subunit	atpE
ATP synthase CF1 psilon subunit	atpE
ATP synthase F0 subunit E	atpE
ATP synthase F0 complex c subunit	atpE
ATP synthase subunit epsilon	atpE
ATP synthase epcilon subunit	atpE
ATP synthase FF1 epsilon subunit	atpE
atpE	atpE
ATPsynthaseCF1epsilonsubunit	atpE
ATP synthase CF1epsilon subunit	atpE
F-type H+-transporting ATPase subunit epsilon	atpE
ATP synthase CF1 epsilon subuni	atpE
ATPsynthase CF1 epsilon subunit	atpE
atpE protein	atpE
H(+)-transporting ATP synthase	atpE
ATP synthase CF 1 subunit epsilon	atpE
AtpE; ATP synthase CF1 epsilon subunit	atpE
CF1 epsilon subunit of ATP synthase	atpE
ATP synthase subunit CF1 epsilon subunit	atpE
atp synthase subunit	atpE
ATP synthase CF1 epsilon subunit protein	atpE
ATP synthase CF1 epsilon protein	atpE
ATP syntase CF1 epsilon subunit	atpE
ATP Synthase epsilon subunit	atpE
H+-ATP synthase subunit E	atpE
ATP synthase, F0 complex, c subunit	atpE
H+-ATPase epsilon subunit	atpE
ATP f0 C subunit	atpE
ATP synthase CF1	atpE
CF1 epsilon subunit	atpE
ATP synthase epsilon chain, chloroplastic	atpE
ATP-synthase CF1 epsilon subunit	atpE
