Full Name	Short Name
ATP synthase CF0 subunitI	atpF
CF0 subunit I	atpF
ATP synthase CF0 B chain	atpF
ATP synthase CF0 B subunit subunit I	atpF
ATPase I subunit	atpF
ATP systhase CF0 B subunit	atpF
F0F1 ATP synthase subunit B	atpF
ATP synthase CF0 B chain subunit I	atpF
ATP synthase I subunit	atpF
ATP synthase F0 subunit F	atpF
ATP synthase subunit b	atpF
ATP synthase CFO B subunit I	atpF
atpF	atpF
ATP synthase CF0 subunit	atpF
ATP synthase CFO subunit I	atpF
ATPsynthaseCF0subunitI	atpF
synthase CF0 B chain	atpF
ATP synthase CF 0 subunit I	atpF
'ATP synthase CF0 B subunit	atpF
ATP synthase CF0 B subunit I	atpF
ATP systhase CFO B subunit	atpF
ATPsynthase CF0 subunit I	atpF
atp synthase CF0 subunit I	atpF
atpF protein	atpF
ATPAse subunit I	atpF
AtpF; ATP synthase CF0 B subunit	atpF
ATP synthase CFO B subunit	atpF
ATP synthase CF0 F chain	atpF
CF0 subunit I of ATP synthase	atpF
ATP synthase CF0 subunit I; ATP synthase CF0 B subunit	atpF
ATP synthase CF0 subunit I protein	atpF
ATP synthase CF0 B protein	atpF
ATP synthase subunit I	atpF
ATP syntase CF0 subunit I	atpF
H+-ATPase I subunit	atpF
ATP synthase cf0 b subunit	atpF
synthase CF0 subunit I	atpF
ATP synthase CF0 B subunit (subunit I)	atpF
ATP synthase subunit CF0 I	atpF
ATP synthase CF0 subunit b	atpF
ATP synthase subunit b, chloroplastic	atpF
ATP-synthase CF0 subunit I	atpF
putative 23S ribosomal RNA	atpF
ATP systhase CF0 subunit I	atpF
