Full Name	Short Name
ATP synthase CF0 subunit III	atpH
ATP synthase CF0 subunitIII	atpH
CF0 subunit III	atpH
ATP synthase CF0 C chain	atpH
ATP synthase CF0 C subunit subunit III	atpH
atp synthase CF0 C subunit	atpH
ATPase III subunit	atpH
ATP systhase CF0 C subunit	atpH
ATP synthase subunit c	atpH
ATP synthase CF0 C chain subunit III	atpH
ATP synthase III subunit	atpH
ATP synthase F0 subunit H	atpH
ATP synthase CFO C subunit III	atpH
ATP systhase CF0 C chain	atpH
atpAse subunit III	atpH
atpH	atpH
ATP synthase CFO subunit III	atpH
ATP synthase CFO subunit II	atpH
ATP synthase CFO C subunit	atpH
ATPsynthaseCF0subunitIII	atpH
ATP synthase CF0 A subunit III	atpH
'ATP synthase CF0 C subunit	atpH
ATP systhase CFO C chain	atpH
ATP synthase CF0, subunit C	atpH
ATP systhase CFO C subunit	atpH
ATPsynthase CF0 subunit III	atpH
atp synthase CF0 C subunit III	atpH
atpH protein	atpH
ATP synthase subunit delta	atpH
ATP synthase F0 subunit C	atpH
ATPase III subunit; ATP synthase CF0 C chain	atpH
CF0 subunit III of ATP synthase	atpH
ATP synthase CF 0 subunit III	atpH
AtpH; ATP synthase CF0 C subunit	atpH
ATP synthase CF0 Csubunit III	atpH
ATP synthase subunit CF0 subunit III	atpH
ATP synthase CF0 subunit III; ATP synthase CF0 C subunit	atpH
ATP synthase CF0 C protein	atpH
ATP synthase subunit III	atpH
ATP syntase CF0 subunit III	atpH
ATP synthase synthase CF0 subunit III	atpH
ATP synthase CF0 C	atpH
H+-ATPase III subunit	atpH
ATP synthase CF1 subunit III	atpH
ATP synthase CF0 III	atpH
H+-ATPase subunit CF0III	atpH
ATP synthase CF0 C subunit (subunit III)	atpH
ATP synthase subunit CF0 III	atpH
ATP synthase subunit c, chloroplastic	atpH
ATP synthase CF0 subunit c	atpH
F-ATPase subunit c	atpH
ATP synthase CF0 subunit III'	atpH
ATP-synthase CF0 subunit III	atpH
ATP systhase CF0 subunit III	atpH
