Full Name	Short Name
ATP synthase CF0 subunit IV	atpI
ATP synthase CF0 subunitIV	atpI
ATPase subunit IV	atpI
ATP synthase CFO A subunit	atpI
CF0 subunit IV	atpI
ATP synthase CF0 A chain	atpI
ATP synthase CF0 A subunit subunit IV	atpI
ATPase a subunit	atpI
ATP synthase CF0 A chain subunit IV	atpI
ATPase synthase IV subunit	atpI
ATP synthase F0 subunit I	atpI
ATP synthase subunit a	atpI
ATP synthase CFO A subunit IV	atpI
atpI	atpI
ATPase IV subunit	atpI
ATP synthase CFO subunit IV	atpI
ATPsynthaseCF0subunitIV	atpI
ATP synthase CFU A chain	atpI
ATP synthase CF0, subunit A	atpI
ATP synthase CFU A subunit	atpI
ATPsynthase CF0 subunit IV	atpI
atp synthase CF0 A subunit IV	atpI
atpI protein	atpI
ATP synthase protein I	atpI
ATP synthase, membrane-bound accessory factor	atpI
ATPase IV subunit; ATP synthase CF0 A chain	atpI
ATP synthase CF0 subunit IV protein	atpI
AtpI; ATP synthase CF0 A subunit	atpI
ATP synthase IV subunit	atpI
ATP synthase FO sector subunit a	atpI
ATPase sunthase IV subunit	atpI
ATP synthase CF0 subunit IV1	atpI
ATP synthaseCF0 subunit IV	atpI
CF0 subunit IV of ATP synthase	atpI
ATP synthase subunit CF0 subunit IV	atpI
ATP synthase CF0 subunit IV; ATP synthase CF0 A subunit	atpI
ATP synthase CF0 subunit IV'	atpI
ATPase a subunit IV	atpI
ATP synthase CF0 A protein	atpI
ATP synthase subunit IV	atpI
ATP syntase CF0 subunit IV	atpI
ATP synthase synthase CF0 subunit IV	atpI
H+-ATPase IV subunit	atpI
ATP synthase CF1 subunit IV	atpI
H+-ATPase a subunit	atpI
ATP synthase cf0 a subunit	atpI
ATPase subunit a	atpI
H+-ATPase subunit CF0IV	atpI
ATP synthase CF0 A subunit (subunit IV)	atpI
ATP synthase subunit CF0 IV	atpI
ATP synthase CF0 subunit a	atpI
ATP synthase subunit a, chloroplastic	atpI
ATP-synthase CF0 subunit IV	atpI
