Full Name	Short Name
chloroplast envelope membrane protein	cemA
envelope membrane protein	cemA
envelope membrane carbon uptake protein	cemA
CemA	cemA
chloroplast envelope protein	cemA
putative heme-binding protein	cemA
heme-binding protein	cemA
envelope membrane carbone uptake protein	cemA
chloroplast envelope protein Ycf10	cemA
potential heme-binding protein	cemA
envelop membrane protein	cemA
putative hemebinding protein	cemA
cemA protein	cemA
chloroplast envelope membrane carbon uptake protein	cemA
CemA; envelope membrane protein	cemA
envolope membrane protein	cemA
chloroplast envelopemem braneprotein	cemA
chloroplast envelope	cemA
envelope membrane protein1	cemA
chloroplast enveloppe membrane protein	cemA
cloroplast envelope membrane protein	cemA
chloroplast membrane envelope protein	cemA
chloroplast envelop emembrane protein	cemA
envelopeme mbrane protein	cemA
chloroplast membrane protein A	cemA
envelope membrane protein, chloroplastic	cemA
