Full Name	Short Name
photochlorophyllide reductase subunit B	chlB
protochlorophyllide reductase ChlB subunit	chlB
protochlorophyllide reductase subunit B	chlB
chlB	chlB
protochlorophyllide reductase 58 kDa chain	chlB
protochlorophyllide reductase 58kDa chain	chlB
protochlorophyllide reductase Chl Bsubunit	chlB
light-independent protochlorophyllide reductase subunit B	chlB
photochlorophyllide reductase ChlB subunit	chlB
ferredoxin:protochlorophyllide reductase ATP-dependent subunit B	chlB
ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B	chlB
photochlorophyllide reductase subunit ChlB	chlB
ChlB subunit of protochlorophyllide reductase	chlB
protochlorophyllide reductase 58kDa subunit	chlB
protochlorophyllide reductase 58 kDa subunit	chlB
