Full Name	Short Name
ChlL	chlL
photochlorophyllide reductase subunit L	chlL
protochlorophyllide reductase ATP-binding subunit	chlL
protochlorophyllide reductase iron proteinsubunit	chlL
protochlorophyllide reductase Fe protein	chlL
protochlorophyllide reductase subunit L	chlL
protochlorophyllide reductase iron protein subunit	chlL
light-independent protochlorophyllide reductase subunit L	chlL
light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	chlL
protochlorophyllide reductase ATP-binding	chlL
photochlorophyllide reductase subunit ChlL	chlL
ferredoxin:protochlorophyllide reductase ATP-dependent iron-sulfur ATP-binding protein	chlL
ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	chlL
light-independent protochlorophyllide reductase iron protein subunit ChlL	chlL
ATP-binding subunit of protochlorophyllide reductase	chlL
photochlorophyllide reductase ATP-binding subunit	chlL
Protochlorophyllide reductase subunit	chlL
tochlorophyllide reductase subunit L	chlL
protochlorophillide reductase subunit ChlL	chlL
