Full Name	Short Name
photochlorophyllide reductase subunit N	chlN
protochlorophyllide reductase ChlN subunit	chlN
protochlorophyllide reductase subunit N	chlN
chlN	chlN
protochlorophyllide reductase 48 kDa chain	chlN
light-independent protochlorophyllide reductase subunit N	chlN
protochlorophillide reductase subunit ChlN	chlN
ferredoxin:protochlorophyllide reductase ATP-dependent subunit N	chlN
ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N	chlN
photochlorophyllide reductase subunit	chlN
protochlorophyllide reductase subunit chlN	chlN
ChlN subunit of protochlorophyllide reductase	chlN
protochlorophyllide reductase 46kDa chain	chlN
protochlorophyllide reductase 46kDa subunit	chlN
photochlorophyllide reductase subunit ChlN	chlN
protochlorophyllide reductase 48 kDa subunit	chlN
