Full Name	Short Name
clp protease proteolytic subunit	clpP
ATP-dependent Clp protease proteolytic subunit	clpP
ClpP	clpP
ATP-depedent Clp protease proteolytic subunit	clpP
ATP-dependent protease subunit	clpP
clpP-like protease	clpP
Clp protease catalytic subunit	clpP
ATP-dependent protease proteolytic subunit	clpP
clpP protease proteolytic subunit	clpP
ATP-dependent protease proteolytic subunit exon3	clpP
clp protease proteolytic subunit protein	clpP
ATP-dependent protease; catalytic subunit	clpP
ATP-dependent Clp protease proteolytic	clpP
ATP-dependent Clp protease proteolytic subunit 3	clpP
clpprotease proteolytic subunit	clpP
Clp (chloroplast)	clpP
ATP-dependent Clp protease	clpP
ATP dependent clp protease proteolytic subunit	clpP
clpP protein	clpP
truncated clp protease proteolytic subunit	clpP
RNA ATP-dependent Clp protease proteolytic subunit	clpP
caseinolytic mitochondrial matrix peptidase proteolytic subunit	clpP
ATP-dependent protease	clpP
acetyl-CoA ATP-dependent Clp protease proteolytic subunit	clpP
ATP-dependent Clp protease proteolytic subunit like, bacteria origin	clpP
ATP-dependent protease proteolytic subuni	clpP
proteolytic subunit 2 of clp protease	clpP
ATP-dependent protease catalytic subunit	clpP
proteolytic subunit of the ATP-dependent Clp protease	clpP
Clp protease subunit	clpP
ATP-dependent Clp protease subunit	clpP
clp protMsse proteolytic subunit	clpP
ATP-depenent Clp protease proteolytic subunit	clpP
Chloroplastic ATP-dependent Clp protease proteoly tic subunit 1	clpP
ATP-dependent Clp protease proteolytic subunit 2	clpP
