Full Name	Short Name
translation initiation factor 1	infA
translational initiation factor 1	infA
InfA	infA
initiation factor 1	infA
translation initiation factor IF-1	infA
Translational initiation factor	infA
translation initaion factor IF-1	infA
Translation initiation factor IF	infA
translation alinitiation factor1	infA
translational initiation factor IF1	infA
Translational initiation factor IF-1	infA
translationalinitiationfactor1	infA
locus_tagal initiation factor 1	infA
acetolactate synthase 3 regulatory subunit	infA
translation initiation factor A	infA
initiation factor 1'	infA
translational initiation protein 1	infA
product#translation initiation factor 1	infA
Translation initiation factor IF-1, chloroplastic	infA
Protein chain initiation factor IF1	infA
translation initiation factor l	infA
translational initiation factor 1 protein	infA
initial transcription factor	infA
protein subunit initiation factor IF-1	infA
translation initiation factor IF1	infA
translation initiation factor	infA
translation alinitiation factor 1	infA
translational initiation factor1	infA
initiation factor a	infA
