Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 1	ndhA
NADH dehydrogenase subunit 1	ndhA
NADH dehydrogenase subunit A	ndhA
NADH-plastoquinone oxidoreductase subunit A	ndhA
NdhA	ndhA
NADH-plastoquinone oxidoreductase chain 1	ndhA
NADH dehydrogenase ND1	ndhA
NADH dehydrogenase ND1 subunit	ndhA
NAD(P)H-quinone oxidoreductase subunit 1	ndhA
NAD(P)H-quinone oxidoreductase chain 1	ndhA
NADPH dehydrogenase complex A	ndhA
NADH dehyrogenase subunit 1	ndhA
NADH plastoquinone oxidoreductase subunit 1	ndhA
ndhA protein	ndhA
NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic	ndhA
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit A	ndhA
truncated NADH-plastoquinone oxidoreductase subunit 1	ndhA
subunit 1 of NADH-plastoquinone oxidoreductase	ndhA
NADH dehydrogenase subsunit 1	ndhA
NADH-plastoquinone oxidoreductase protein 1	ndhA
NADH-plastoquinoneoxidoreductase subunit 1	ndhA
hypothetical protein (chloroplast)	ndhA
NDH subunit 1	ndhA
NADH-plastoquinoneo xidoreductase subunit 1	ndhA
NdhA; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit A	ndhA
