Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 2	ndhB
NADH dehydrogenase subunit 2	ndhB
NADH dehydrogenase subunit B	ndhB
NdhB	ndhB
NADH-plastoquinone oxidoreductase chain 2	ndhB
NADH dehydrogenase ND2 subunit	ndhB
NADH dehydrogenase ND2	ndhB
NAD(P)H-quinone oxidoreductase subunit 2	ndhB
NAD(P)H-quinone oxidoreductase chain 2	ndhB
NADH-plastoquinoneoxidoreductase subunit 2	ndhB
NAD(P)H-quinone oxidoreductase subunit 2 A	ndhB
NADPH dehydrogenase complex B	ndhB
NADH plastoquinone oxidoreductase subunit 2	ndhB
NADH-plastoquinone oxidoreductase subunit2	ndhB
ndhB protein	ndhB
NADH-plastoquinone oxidoreductase subunit B	ndhB
NADH dehydrogenase subunit II	ndhB
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit B	ndhB
NAD(P)H-quinone oxidoreductase	ndhB
NADH-plastopuinone oxidoreductase subunit 2	ndhB
NAHD-plastoquinone oxidoreductase subunit 2	ndhB
subunit 2 of NADH-plastoquinone oxidoreductase	ndhB
NADH dehydrogenase subsunit 2	ndhB
NADH-plastoquinone oxidoreductase protein 2	ndhB
truncated NADH dehydrogenase subunit 2	ndhB
NADH dehydrogenease subunit 2	ndhB
NADH dehudrogenase ND2 subunit	ndhB
NADH-plastoquinoneo xidoreductase subunit 2	ndhB
NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic	ndhB
NAD(P)H-quinone oxidoreductase subunit 2 B, chlor oplastic	ndhB
NADH-plastoquinone oxidoreductase subunit B 1	ndhB
NdhB; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit B	ndhB
NADH-plastoquinone oxidoreductase subunit B 2	ndhB
