Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 3	ndhC
NADH dehydrogenase subunit 3	ndhC
NADH dehydrogenase subunit C	ndhC
NADH-plastoquinone oxidoreductase subunit C	ndhC
NdhC	ndhC
NADH-plastoquinone oxidoreductase submit 3	ndhC
NADH-plastoquinone oxidoreductase chain 3	ndhC
NADH dehydrogenase D3	ndhC
NADH dehydrogenase ND3 subunit	ndhC
NAD(P)H-quinone oxidoreductase subunit 3	ndhC
NAD(P)H-quinone oxidoreductase chain 3	ndhC
NADH-plastoquinoneoxidoreductase subunit 3	ndhC
NADPH dehydrogenase complex C	ndhC
NADH plastoquinone oxidoreductase subunit 3	ndhC
ndhC protein	ndhC
NAD(P)H-quinone oxidoreductase subunit C	ndhC
NdhC; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit C	ndhC
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit C	ndhC
NADH dehydrogenase C	ndhC
NADH dehydrogenase subunit 3 C	ndhC
subunit 3 of NADH-plastoquinone oxidoreductase	ndhC
NADH-plastoquinone oxidoreductase C	ndhC
NADH dehygrogenase subunit 3	ndhC
NADH-plastoquinone oxidoreductase protein 3	ndhC
NADH-quinone oxidoreductase subunit A	ndhC
NADH dehydrogenase ND3	ndhC
NADH hydrogenase subunit 3	ndhC
NADH-plast oquinone oxidoreductase subunit 3	ndhC
NAD(P)H-quinone oxidoreductase subunit 3, chlorop lastic	ndhC
NADH-plastoquinone oxidoreductase subunit 3transl_table 11	ndhC
NADH-plastoquinoneo xidoreductase subunit 3	ndhC
