Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 5	ndhF
NADH dehydrogenase subunit 5	ndhF
NADH dehydrogenase subunit F	ndhF
NADH-plastoquinone oxidoreductase subunit F	ndhF
NdhF	ndhF
NADH dehydrogenase F	ndhF
NADH-plastoquinone oxidoreductase chain 5	ndhF
NADH dehydrogenase ND5 subunit	ndhF
NADH-plastiquinone oxidoreductase subunit F	ndhF
NAD(P)H-quinone oxidoreductase subunit 5	ndhF
NAD(P)H-quinone oxidoreductase chain 5	ndhF
NADH-plastoquin one oxidoreductase subunit 5	ndhF
NADPH dehydrogenase complex F	ndhF
NADH plastoquinone oxidoreductase subunit 5	ndhF
NAHD-plastoquinone oxidoreductase subunit 5	ndhF
NADH dehydrogenase	ndhF
NADH dehydrogenase subunit V	ndhF
NADH-plastoquinone oxidoreductase subunit 5'	ndhF
NADH dehydrogenase ND5	ndhF
ndhF protein	ndhF
NADH dehydrogenase subunit 52	ndhF
NADH-plastoquinone oxidoreductase subunit 57	ndhF
NADH-plastoquinone oxidoreducta sesubunit 5	ndhF
NdhF; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit F	ndhF
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit F	ndhF
NADH-plastoquinon eoxidoreductase subunit 5	ndhF
truncated NADH-plastoquinone oxidoreductase subunit 5	ndhF
NADH-plastoquinonevoxidoreductase subunit 5	ndhF
subunit 5 of NADH-plastoquinone oxidoreductase	ndhF
NADH-plastoquinoneoxidoreductase subunit 5	ndhF
NADH-plastoquinone oxidoreductase protein 5	ndhF
Nicotinate dehydrogenase FAD-subunit	ndhF
NADH-plastoquin oneoxidoreductase subunit 5	ndhF
NADH dehydrogenase subunit 5 subunit	ndhF
NADH-plastoquinoneoxidoreductasesubunit5	ndhF
NAD(P)H-quinone oxidoreductase subunit 5, chlorop lastic; )	ndhF
NADH-plastoquinoneo xidoreductase subunit 5	ndhF
