Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 6	ndhG
NADH dehydrogenase subunit 6	ndhG
NADH dehydrogenase subunit G	ndhG
NADH-plastoquinone oxidoreductase subunit G	ndhG
NdhG	ndhG
NADH dehyrogenase subunit 6	ndhG
NADH-plastoquinone oxidoreductase chain 6	ndhG
NADH dehydrogenase ND6 subunit	ndhG
NAD(P)H-quinone oxidoreductase subunit 6	ndhG
NAD(P)H-quinone oxidoreductase chain 6	ndhG
NADH dehydrogenasesubunit 6	ndhG
NADH-plastoquinone oxidoreductase subunit6	ndhG
NADPH dehydrogenase complex G	ndhG
NADH plastoquinone oxidoreductase subunit 6	ndhG
NAHD-plastoquinone oxidoreductase subunit 6	ndhG
NADH dehydrogenase ND6	ndhG
ndhG protein	ndhG
NADH dehydrogenase subunit VI	ndhG
NADH-plastoquinone oxidoreductase subunit 6; NADH dehydrogenase subunit 6	ndhG
NADH-plastoquinone oxidoreducta sesubunit 6	ndhG
NADH-plastoquinone oxidorectase subunit 6	ndhG
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit G	ndhG
NADH-plastoquinon eoxidoreductase subunit 6	ndhG
subunit 6 of NADH-plastoquinone oxidoreductase	ndhG
NADH dehydrogenase subsunit 6	ndhG
NADH degydrogenase subunit 6	ndhG
NADH-plastoquinone oxidoreductase protein 6	ndhG
'NADH-plastoquinone oxidoreductase subunit 6	ndhG
NADH-plastoquinoneoxidoreductase subunit 6	ndhG
NADH dehydrogenase subunit 6 subunit	ndhG
NADH-plastoquinoneoxidoreductasesubunit6	ndhG
NADH-plastoquinone oxiductase subunit 6	ndhG
NAD(P)H-quinone oxidoreductase subunit 6, chlorop lastic; )	ndhG
NADH-plastoquinoneo xidoreductase subunit 6	ndhG
NADH degydrogenase ND6 subunit	ndhG
NdhG; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit G	ndhG
