Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit 7	ndhH
NADH dehydrogenase subunit 7	ndhH
NADH-plastoquinone oxidoreductase subunit H	ndhH
NdhH	ndhH
NADH dehydrogenase subunit H	ndhH
NADH-plastoquinone oxidoreductase 49 kDa subunit	ndhH
NADH dehydrogenase 49KDa protein	ndhH
NADH dehydrogenase subunit 8	ndhH
NADH dehydrogenase 49KDa subunit	ndhH
NADH dehydrogenase 49 kDa subunit	ndhH
NAD(P)H-quinone oxidoreductase subunit H	ndhH
NADH dehydrogenase 49kD subunit	ndhH
NADH-plastoquinone oxidoreductase subunit	ndhH
NADPH dehydrogenase complex H	ndhH
NADH plastoquinone oxidoreductase subunit 7	ndhH
NADH-plastoquinone oxidoreductase 49 kDa subunit 7	ndhH
NADH-plastoquinone oxidoreductase 49kDa subunit 7	ndhH
ndhD	ndhH
ndhH protein	ndhH
NADH dehydrogenase subunit VII	ndhH
NADH-plastoquinone oxidoreducta sesubunit 7	ndhH
NADH dehydrogenase 49 kDa protein	ndhH
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit H	ndhH
NADH dehydrogenase 49 kD subunit	ndhH
ndhH NADH dehydrogenase 49 kDa subunit	ndhH
49 kDa subunit of NADH-plastoquinone oxidoreductase	ndhH
NADH dehydrogenase subsunit 7	ndhH
NADH-plastoquinoneoxidoreductase 49 kDa subunit	ndhH
NADH-plastoquinone oxidoreductase 49 KD subunit	ndhH
truncated NADH-plastoquinone oxidoreductase subunit 7	ndhH
NADH-plastoquinoneoxidoreductasesubunit7	ndhH
NAD(P)H-quinone oxidoreductase subunit H, chlorop lastic	ndhH
NADH-plastoquinone oxidoreductase 49 kDa subunit'	ndhH
NADH-plastoquinoneo xidoreductase subunit 7	ndhH
NADH-plastoquinone oxidoreductase 49 kDa	ndhH
NdhH; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit H	ndhH
