Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit J	ndhJ
NdhJ	ndhJ
NADH-plastoquinone oxidoreductase submit J	ndhJ
NADH dehydrogenase 30 kDa subunit	ndhJ
NADH dehydrogenase 19kDa subunit	ndhJ
NAD(P)H-quinone oxidoreductase subunit J	ndhJ
NAD(P)H-quinone oxidoreductase chain J	ndhJ
NADH dehydrogenase 19 kDa subunit	ndhJ
NADH-plastoquinoneoxidoreductase subunit J	ndhJ
NADH dehydrogenase 19kD subunit	ndhJ
NADPH dehydrogenase complex J	ndhJ
NADH plastoquinone oxidoreductase subunit J	ndhJ
NADH dehydrogenase subunit	ndhJ
ndhJ protein	ndhJ
NADH dehydrogensase subunit J	ndhJ
NADH-quinone oxidoreductase subunit C	ndhJ
NADH-plastoquinone oxidoreductase subunit J protein	ndhJ
NdhJ; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit J	ndhJ
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit J	ndhJ
NADH-plastquinone oxidoreductase subunit J	ndhJ
NADH dehydrogenase 30 kD subunit	ndhJ
plastoquinone oxidoreductase subunit J	ndhJ
NADH dehydrogenase 30kD subunit	ndhJ
30 kDa subunit of NADH-plastoquinone oxidoreductase	ndhJ
NADH-plastoquinone oxidoreductase J	ndhJ
NADH dehygrogenase subunit J	ndhJ
truncated NADH-quinone oxidoreductase subunit C	ndhJ
NADH-plastoquinone oxidoreductase	ndhJ
NADH dehydrogenase 30kDa subunit	ndhJ
NADH dehydrogenase 17kD subunit	ndhJ
NADH dehydrogenase subunit 10	ndhJ
NADH-plast oquinone oxidoreductase subunit J	ndhJ
NADH-plastoquinone oxidoreductase subunitJ	ndhJ
NAD(P)H-quinone oxidoreductase subunit J, chlorop lastic	ndhJ
NADH-plastoquinoneo xidoreductase subunit J	ndhJ
