Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit K	ndhK
NADH dehydrogenase subunit K	ndhK
NdhK	ndhK
NADH-plastoquinone oxidoreductase submit K	ndhK
NADH dehydrogenase 27 kDa subunit	ndhK
NAD(P)H-quinone oxidoreductase subunit K	ndhK
NAD(P)H-quinone oxidoreductase chain K	ndhK
NADH dehydrogenase 32 kDa subunit	ndhK
NADH-plastoquinoneoxidoreductase subunit K	ndhK
ndhK protein	ndhK
NADH dehydrogenase 32kD subunit	ndhK
NADH dehydrogenase 32kDa subunit	ndhK
NADPH dehydrogenase complex K	ndhK
NADH plastoquinone oxidoreductase subunit K	ndhK
truncated NADH dehydrogenase 27k Da subunit	ndhK
putative NADH-plastoquinone oxidoreductase subunit K	ndhK
NAD(P)H-quinone oxidoreductase subunit K, chloroplastic	ndhK
NdhK; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit K	ndhK
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit K	ndhK
NADH plastoquinone oxidoreductase subuni tK	ndhK
NADH-plastquinone oxidoreductase subunit K	ndhK
NADH dehydrogenase 27 kD subunit	ndhK
27 kDa subunit of NADH-ubiquinone oxidoreductase	ndhK
NADH-plastoquinone oxidoreductase K	ndhK
NADH dehydrogenase 27kD subunit	ndhK
NADH dehygrogenase subunit K	ndhK
NADH dehydrogenase 27kDa subunit	ndhK
NADH-plastoquinone oxidoreductase subunit K5	ndhK
NADH dehydrogenase subunit 11	ndhK
NADH-plast oquinone oxidoreductase subunit K	ndhK
NAD(P)H-quinone oxidoreductase subunit K, chlorop lastic	ndhK
NADH-plastoquinoneo xidoreductase subunit K	ndhK
