Full Name	Short Name
cytochrome f	petA
PetA	petA
apocytochrome f	petA
component of cytochrome b6/f complex	petA
cytchrome f	petA
apocytochrome f precursor	petA
cytochromef	petA
Thioredoxin-like protein HCF164	petA
component of cytochrome b6f complex	petA
cytochrome b6/f	petA
component of cytochromeb6/fcomplex	petA
component of cytochrome b6/fcomplex	petA
apocytochrome f of cytochrome b6/f complex	petA
petA protein	petA
cytochrome b6/f complex	petA
PetA; cytochrome f	petA
cytochrome f precursor	petA
cytochrome b6/f complex protein A	petA
apocytochrome f precursor of cytochrome b6/f complex	petA
cytochrome b6/f complex component cytochrome f	petA
apocytochrome f precursor; component of cytochrome b6-f complex	petA
component of cytochrome b6-f complex	petA
B/f complex cytochrome f	petA
