Full Name	Short Name
cytochrome b6	petB
PetB	petB
apocytochrome b6 of cytochrome b6/f complex	petB
cytchrome b6	petB
cytochrome b6/f cytb subunit	petB
cytohrome b6	petB
cytochrome b	petB
cytochrome b6/f complex PetB protein	petB
cytochromeb6	petB
product cytochromeb6	petB
cytochrome b6 / f complex subunit IV	petB
petB protein	petB
cytochromeb 6	petB
petB CDS	petB
PetB; cytochrome b6	petB
cytochrome b6 complex subunit	petB
cytochrome b6/f complex subunit II	petB
cytochrome b6/f complex protein B	petB
cytochrome b 6	petB
cytochrome b4	petB
cytochrome b6/f complex subunit 2	petB
cytochrome b6/f subunit B	petB
product: cytochrome b6	petB
cytochrome b(6)	petB
