Full Name	Short Name
cytochrome b6/f complex subunit IV	petD
cytochrome b6f complex subunit IV	petD
cytochrome b6/f subunit IV	petD
PetD	petD
cytochrome b6/f complex subunit 4	petD
cytochrome b6-f complex subunit IV	petD
cytochrome b/f	petD
cytochrome b6f subunit IV	petD
cytchrome b6/f complex subunit IV	petD
cytochrome b/f complex subunit IV	petD
cytochrome b6/f subunit subunit IV	petD
cytohrome b6/f complex subunit IV	petD
cytochrome b6-f complex subunit 4	petD
cytochromeb 6f complex subunit IV	petD
cytochromeb6/f complex subunitIV	petD
cytochrome b6/f complex subunitIV	petD
cytochrome b6/f complex subunit ?	petD
petD protein	petD
cytochrome b6 f complex subunit 4	petD
Cyt b6/f complex subunit IV	petD
cytochrome b6f subunit D	petD
cytochrome b6/f subunit D	petD
petD CDS	petD
cytochrome b6/f commplex subunit IV	petD
cytochrome b6/f complex subunit IV protein	petD
cytochrome b6 f subunit IV	petD
PetD; cytochrome b6/f complex subunit IV	petD
cytochrome b6/f complex subunit IV'	petD
cytochrome b6/f complex protein D	petD
cytochrome f b6/f complex subunit IV	petD
cytochromeb 6/f complex subunit IV	petD
subunit IV of cytochrome b6/f complex	petD
cytochrome b6/f complex subunit D	petD
cytochrome b/f complex subunit 4	petD
cytochrome b4/f complex subunit IV	petD
sytochrome b/f complex subunit 4	petD
cytochrome B6 subunit	petD
cytochrome b6/f complexsubunit IV	petD
cytohrome_b6/f_complex subunit IV	petD
cytochrome b6 /f complex subunit IV	petD
