Full Name	Short Name
cytochrome b6/f complex subunit V	petG
cytochrome b6f complex subunit V	petG
cytochrome b6/f subunit G	petG
PetG	petG
cytochrome b6/f complex subunit 5	petG
cytochrome b6-f complex subunit V	petG
cytochrome b6-f complex, subunit V	petG
cytochrome b6f subunit G	petG
cytochrome b6/f complex subunit G	petG
cyt b6/f complex subunit V	petG
cytchrome b6/f complex subunit V	petG
cytochrome b/f complex subunit V	petG
cytochrome b6/f subunit subunit V	petG
cytochrome b6-f complex subunit 5	petG
chtochrome b6-f complex subunit V	petG
cytochromeb6f complex subunit V	petG
cytochrome b6/f subunit V	petG
cytochromeb6-f complex subunit 5	petG
cytochrome b6f complex subunitV	petG
petG protein	petG
cytochrone b6/f complex subunit V	petG
cytochrome b6/fcomplex subunit V	petG
cytochrome b6 f subunit G	petG
PetG; cytochrome b6/f complex subunit V	petG
required for either the stability or assembly of the cytochrome b6/f complex	petG
cytochrome b5/f complex subunit V	petG
cytochrome f b6/f complex subunit V	petG
subunit V of cytochrome b6/f complex	petG
cytochrome b6 /f complex subunit V	petG
cytochrome b/f complex subunit 5	petG
cytochrome b6/f subunit G'	petG
putative cytochrome B6-F complex subunit 5	petG
cytochrome b6/f-complex subunit V	petG
possible cytochrome B6-F complex subunit 5	petG
cytochromeb 6/f complex subunit V	petG
cytochrome b6/f complexsubunit V	petG
product: cytochrome b6/f complex subunit V	petG
cytochrome b6f	petG
cytochrome b6-f complex: subunit 5	petG
