Full Name	Short Name
cytochrome b6/f complex subunit VI	petL
cytochrome b6f complex subunit VI	petL
cytochrome b6/f subunit L	petL
PetL	petL
cytochrome b6-f complex subunit 6	petL
cytochrome b6-f complex subunit VI ycf7	petL
cytochrome b6-f complex subunit VI	petL
cytochrome b/f complex 3.5 kDa subunit	petL
cytochrome b6f subunit L	petL
cytochrome b6/f complex subunit L	petL
cytchrome b6/f complex subunit VI	petL
cytochrome b6/f complex small subunit	petL
cytochrome b6/f subunit subunit VI	petL
cyt b6/f complex subunit VI	petL
cytochrome bf complex 3.5 kDa subunit	petL
cytochromeb6f complex subunit VI	petL
cytochrome b6/f subunit VI	petL
cytochrome b6 fcomplex subunit VI	petL
cytochromeb6-f complex subunit 6	petL
cytochrome b6/f complex subunit 6	petL
ORF31	petL
petL protein	petL
hypothetical protein || ORF31 protein	petL
ORF31 protein	petL
cytochrome b6/f complex 3.5 kDa subunit	petL
cytochrome b6-f complex subunit	petL
cytochrone b6/f complex subunit VI	petL
cytochrome b6 f subunit L	petL
PetL; cytochrome b6/f complex subunit VI	petL
cytochrome b/f complex 3.5 kD subunit	petL
cytochrome b6/f complex subunit	petL
cytochrome b/f complex 3.5kD subunit	petL
cytochrome f b6/f complex subunit VI	petL
subunit VI of cytochrome b6/f complex	petL
cytb6/f complex subunit VI	petL
cutochrome b6/f complex subunit VI	petL
cytochrome b6/f complex subunit I	petL
cytochrome b6-f complex subunit VI (Ycf7)	petL
cytochromeb 6/f complex subunit VI	petL
cytochrome b6 /f complex subunit VI	petL
cytochrome b6/f complex subunit VI'	petL
cytochrome b6/f complexsubunit VI	petL
