Full Name	Short Name
cytochrome b6/f complex subunit VIII	petN
cytochrome b6f complex subunit VIII	petN
PetN	petN
cytochrome b6/f subunit N	petN
cytochrome b6-f complex subunit 8	petN
cytochrome b6-f complex subunit VIII ycf6	petN
cytochrome b6-f complex subunit VIII	petN
cytochrome b6/f complex subunit N	petN
cytochrome b6f subunit N	petN
cytchrome b6/f complex subunit VIII	petN
cytochrome b/f complex subunit VIII	petN
cytochrome b6/f subunit subunit VIII	petN
cytochromeb6/f complex subunit VIII	petN
cytochrome b6/fcomplex subunit VIII	petN
cytochrome b6f complex subunit	petN
cytochrome b6/f complex subunit VII	petN
cytochrome b6/f complex subunit 8	petN
cytochrome b6/f subunit VIII	petN
cytochrom b6/f complex subunit	petN
cytochrome b6/f complex subunit VIII'	petN
petN protein	petN
cytochrome b6 f complex subunit N	petN
cytochrome b6 f complex subunit VIII	petN
hypothetical chloroplast RF60	petN
cytochrome b6 f subunit N	petN
PetN; cytochrome b6/f complex subunit VIII	petN
cytochrome b/f complex subunit	petN
cytochromeb 6f complex subunit VIII	petN
cytochrome b6f complexs ubunit VIII	petN
putative chloroplast RF61	petN
cytochrome b/f complex subunit N	petN
cytochrome f b6/f complex subunit VIII	petN
subunit VIII of cytochrome b6/f complex	petN
Cytochrome b/f complex subunit N (3.2kD)	petN
cytochromeb6/f complex subunit N	petN
cytochrome b/6f complex subunit VIII	petN
a subunit of cytochrome b6f complex	petN
cytochrome b/f complex subunit(N)	petN
cytochrome b6/f complex subunit III	petN
cytochrome b6/f subunit NtrnC-GCA	petN
cytochrome b6-f complex subunit VIII (Ycf6)	petN
cytochromeb 6/f complex subunit VIII	petN
cytochrome b6 /f complex subunit VIII	petN
cytochrome b6f complex	petN
