Full Name	Short Name
PsaA	psaA
photosystem I P700 apoprotein A1	psaA
photosystem I P700 chlorophyll a apoprotein A1	psaA
PSI P700 apoprotein A1	psaA
photosystem I subunit A	psaA
photosystem I P700 chlorophyll apoprotein A1	psaA
chlorophyll a apoprotein A1	psaA
photosystem IP700 apoprotein A1	psaA
photosystem I P700	psaA
PSI P700 A1 apoprotein	psaA
photosystemIP700apoproteinA1	psaA
photosystem I P700 chlorophy11 A apoprotein A1	psaA
psaA protein	psaA
photosystem I P700 chlorophy11 A apoprotein	psaA
photosystem IP700 apoprote in A1	psaA
PsaA; photosystem I P700 chlorophyll a apoprotein A1	psaA
photosystem I protein P700 chlorophyll A apoprotein A1	psaA
P700 apoprotein A1 of photosystem I	psaA
PSII P700 apoprotein A1	psaA
photosystem I P700 apo protein A1	psaA
photosystem I P700 chlorophylla apoprotein A1	psaA
photosystem I P700 apoprotein subunit Ia	psaA
PSI P700 apoprotein 1	psaA
photosystem I protein A	psaA
PSI P700 apoprotein	psaA
psaA product, photosystem I protein	psaA
Photosystem I P700 chlorophyll a apoprotein A1 (E C	psaA
photosystem IP700 apo protein A1	psaA
PS1 P700 apoprotein A1	psaA
mRNA maturation factor 3	psaA
