Full Name	Short Name
photosystem I P700 apoprotein A2	psaB
photosystem I P700 chlorophyll a apoprotein A2	psaB
photosystem I P700 apoprotein B	psaB
PsaB	psaB
PSI P700 apoprotein A2	psaB
photosystem I subunit B	psaB
photosystem I P700 chlorophyll apoprotein A2	psaB
chlorophyll a apoprotein A2	psaB
photosystem IP700 apoprotein A2	psaB
PSI P700 A2 apoprotein	psaB
photosystemIP700apoproteinA2	psaB
photosystem I chlorophyll A apoprotein A2	psaB
photosystem I P700 chlorophy11 A apoprotein A2	psaB
photosystem I P700 chlorophyll a apoprotein A	psaB
psaB protein	psaB
photosystem I P700 chlorophyll a apoprotein	psaB
photosystem I P700 chlorophyll a	psaB
photosystem I P700 apoproteinA2	psaB
photosystem IP700 apoprote in A2	psaB
PsaB; photosystem I P700 chlorophyll a apoprotein A2	psaB
photosystem I protein P700 chlorophyll A apoprotein A2	psaB
photosystem I P799 apoprotein A2	psaB
P700 apoprotein A2 of photosystem I	psaB
photosystem I P700 apo protein A2	psaB
photosystem I P700 chlorophylla apoprotein A2	psaB
photosystem I P700 apoprotein subunit Ib	psaB
ORF55d	psaB
photosystem I protein B	psaB
hotosystem I P700 apoprotein A2	psaB
photosystem I apoprotein A2	psaB
Photosystem I P700 chlorophyll a apoprotein A2 (E C	psaB
photosystem IP700 apo protein A2	psaB
RNA binding protein	psaB
photosystem I P700 apoprotein a A2	psaB
photosystem I P700 chlorophyll Aapoprotein A2	psaB
