Full Name	Short Name
photosystem I subunit VII	psaC
photosystem I subunit VII (iron-sulfur center)	psaC
photosystem I subunit C	psaC
PsaC	psaC
photosystem I iron-sulfur center subunit VII	psaC
PSI 9KDa protein	psaC
PSI 9kD protein	psaC
photosystem I 9 kDa protein	psaC
photosytem I subunit VII	psaC
photosystem I iron-sulfur center	psaC
PSI 9 kDa protein	psaC
PSI subunit VII	psaC
photosystem I iron-sulfur protein PsaC	psaC
photosystem I iron-sulfur protein	psaC
photosystem I 9kDa protein	psaC
photosystemIsubunit VII	psaC
psaC protein	psaC
photosystem I iron-sulfur center 9 kDa protein	psaC
PSI C protein	psaC
photosystem I protein C	psaC
photosystemIsubunitVII	psaC
PSI 9 kD protein	psaC
photosystemI subunit VII	psaC
subunit VII of photosystem I (Fe-Spolypeptide)	psaC
photosystem I iron-sulfur centerI	psaC
photosystem I protein	psaC
photosystem I iron-sulfur center protein	psaC
photosystem 1 protein C	psaC
Photosystem I iron-sulfur center (subunit VII)	psaC
photosystem I subunit 7	psaC
Photosystem I iron-sulfur center (Photosystem I subunit VII)	psaC
PasC	psaC
subunit VII of photosystem I (Fe-S polypeptide)	psaC
subunit VII of photosystem I	psaC
9 kDa protein	psaC
PsaC; photosystem I subunit VII	psaC
