Full Name	Short Name
photosystem I subunit VIII	psaI
PSI reaction center subunit VIII	psaI
photosystem I subunit I	psaI
photosystem I reaction center subunit VIII	psaI
PsaI	psaI
PSI I protein	psaI
photosystem I I-protein	psaI
PSI reaction centre subunit VIII	psaI
PSI subunit VIII	psaI
PSI I-protein	psaI
photosystem I reaction centre subunit VIII	psaI
psaI protein	psaI
Mannose-1-phosphate guanyltransferase	psaI
PsaI; photosystem I subunit VIII	psaI
photosystem I component	psaI
photosystem I protein I	psaI
photosytem I subunit VIII	psaI
photosysten I subunit I	psaI
subunit VIII of photosystem I	psaI
photosystem I protein VIII	psaI
component of photosystem I	psaI
Photosystem I polypeptide I	psaI
PSI small peptide	psaI
photosystem I subunit IpafII	psaI
reaction centre subunit VIII	psaI
