Full Name	Short Name
photosystem I subunit IX	psaJ
PSI reaction centre subunit IX	psaJ
photosystem I subunit J	psaJ
PsaJ	psaJ
photosystem I reaction center subunit IX	psaJ
PSI J protein	psaJ
photosystem I J-protein	psaJ
PSI J-protein	psaJ
PSI reaction center subunit IX	psaJ
PSI subunit IX	psaJ
photosystem I reaction centre subunit IX	psaJ
psaJ protein	psaJ
PSI protein J	psaJ
photosystem I subunit IX protein	psaJ
photosystem I protein J	psaJ
psJ	psaJ
PsaJ; photosystem I subunit IX	psaJ
photosystem I subunit IXf	psaJ
subunit IX of photosystem I	psaJ
photosystem I protein IX	psaJ
photosystem I subunit 10	psaJ
PSII reaction center subunit IX	psaJ
