Full Name	Short Name
photosystem II protein D1	psbA
PsbA	psbA
photosystem II reaction center protein D1	psbA
photosystem II Qb protein D1	psbA
PSII 32 KDa protein	psbA
photosystem II subunit D1	psbA
photosystem II protein D1 precursor	psbA
photosystem II q(b) protein	psbA
photosystem II Q(b) protein (D1)	psbA
PSII 32 kD protein	psbA
photosystem II protein D	psbA
photosystem II 32 kDa protein	psbA
photosystem II P680 reaction center D1 protein	psbA
PSII D1 protein	psbA
photosystam II protein Da	psbA
photosystem IIprotein D1	psbA
photosystem II Q protein (D1)	psbA
photosystem II reaction centre protein D1	psbA
psbA protein	psbA
PS II protein D1	psbA
photosystem II Q protein	psbA
PSII protein D1	psbA
phostosystem II protein D1	psbA
photosystem Q(B) protein	psbA
PsbA; photosystem II protein D1	psbA
PSII D1-protein	psbA
photosystem II protein D1 2	psbA
photosystemII protein D1	psbA
PSII 32kd protein	psbA
photosystem II protein A	psbA
D1 reaction center protein of photosystem II	psbA
photosystem II protein Dl	psbA
photosystem II 32kDa protein	psbA
photosystem II Q(b) protein D1	psbA
photosystemIIQ(b)proteinD1	psbA
photosystemIIQ(b) proteinD1	psbA
photosystem II D1-reaction-center protein	psbA
32 kD PSII D1 protein	psbA
PSII 32kDa protein	psbA
photosistem II protein D1	psbA
photosystem II Q protein D1	psbA
photosystem Q(B) protein 2 precursor	psbA
Photosystem II protein D1 3	psbA
D1 protein of photosystem II	psbA
