Full Name	Short Name
photosystem II 47 kDa protein	psbB
photosystem II CP47 chlorophyll apoprotein	psbB
PsbB	psbB
photosystem II p680 chlorophyll A apoprotein (CP-47)	psbB
PSII 47 kDa protein	psbB
Photosystem II CP47	psbB
PSII 47KDa protein	psbB
photosystem II CP47 reaction center protein-like	psbB
photosystem II p680 chlorophyll A apoprotein	psbB
photosystem II subunit CP47	psbB
photosystem II CP47 protein	psbB
photosystem II CP47 kDa chlorophyll apoprotein	psbB
photosystem II CP47 reaction center protein	psbB
photosystem II p680 chlorophyll A apoprotein CP-47	psbB
photosystem II protein 47KD	psbB
photosystem II 47KD protein	psbB
PSII 47kD protein	psbB
photosystem II protein B	psbB
photosystem II P680 chlorophyll A apoprotein (CP-47protein)	psbB
photosystem II 47kDa protein	psbB
photosystem II reaction center protein B	psbB
photosystem II CP47 chlorophyllapo protein	psbB
photosystemII CP47 chlorophyll apoprotein	psbB
psbB protein	psbB
PS II CP47 chlorophyll apoprotein	psbB
PSII 47 kD protein	psbB
photosystem CP47 chlorophyll apoprotein	psbB
photosystem II CP47 chlorophy ll apoprotein	psbB
PsbB; photosystem II 47 kDa protein	psbB
photosystem II CP47 chloropholl apoprotein	psbB
photosystem II 47 kDa protein (CP47)	psbB
photosystem II	psbB
photosystem II subunit B	psbB
photosystem II 47 kDa protein B	psbB
CP47 chlorophyll apoprotein of photosystem II	psbB
photosystem II protein CP47	psbB
PSII CP47 chlorophyll apoprotein	psbB
photosystem II protein CP47 chlorophyll apoprotein	psbB
photosystem II P680 chlorophyll A apoprotein; PSII 47 kDa protein	psbB
PSII P680 chlorophyll A apoprotein	psbB
photosystem II CP47 chloropll apoprotein	psbB
photosystem II CP47 chlorophyll apo protein	psbB
photosystem II CP47 reaction center	psbB
mRNA maturation factor	psbB
photosystem II CP47 apoprotein	psbB
