Full Name	Short Name
photosystem II CP43 chlorophyll apoprotein	psbC
photosystem II 44 kDa protein	psbC
photosystem II 43 kDa protein	psbC
PsbC	psbC
photosystem II 44 kDa apoprotein (P6)	psbC
photosystem II CP43 reaction center protein	psbC
photosystem II 44 kDa apoprotein P6	psbC
PSII 43 KDa protein	psbC
photosystem II 44 kDa apoprotein	psbC
photosystem II subunit CP43	psbC
photosystem II CP43 protein	psbC
photosystem II CP43 kDa chlorophyll apoprotein	psbC
photosytem II 44 kDa protein	psbC
photosystem II 44 kDa protein P6	psbC
photosystem II44 kDa protein	psbC
PSII 44 kDa protein	psbC
photosystem II CP43	psbC
photosystem II CP43 chlorophyll apopretein	psbC
photosystemIICP43chlorophyllapoprotein	psbC
photosystem II 44 kDa protein (CP43)	psbC
photosystem II CP43 protein C	psbC
photosystem II CP43 chlorophyllapo protein	psbC
photosystemII CP43 chlorophyll apoprotein	psbC
photosystem II protein C	psbC
photosystem II protein CP43 chlorophyll apoprotein	psbC
psbC protein	psbC
PS II 43 kDa protein	psbC
PSII 44kd protein	psbC
PSII 44 kD protein	psbC
photosystem II CP43 kDa protein	psbC
PsbC; photosystem II 44 kDa protein	psbC
hotosystem II 44 kDa protein	psbC
photosystem II 43 kDa protein (CP43)	psbC
photosystem II protein C2	psbC
CP43 chlorophyll apoprotein of photosystem II	psbC
photosystem II CP43 chlorophyll apo protein	psbC
PSII 44kDa protein	psbC
photosystem II 43 kDa protein; CP43	psbC
photosystem II CP43 chlorophy ll apoprotein	psbC
photosystem II CP43 chlorophyll apoprotein; photosystem II 44 kDa protein	psbC
photosystem II CP43-chlorophyll	psbC
photosystem II protein CP43 chlorophyll	psbC
PSII 43kDa protein	psbC
photosystem II protein CP43	psbC
photosystem II 44KDa protein	psbC
photosystem II 44k Da protein	psbC
PSII 43kD protein	psbC
photosystem II reaction center protein CP43	psbC
photosystem II CP43 chloropll apoprotein	psbC
photosystem II CP43 apoprotein	psbC
photosytem II CP43 chlorophyll apoprotein	psbC
