Full Name	Short Name
photosystem II cytochrome b559 beta subunit	psbF
photosystem II protein VI	psbF
cytochrome b559 subunit beta	psbF
PsbF	psbF
cytochrome b559 beta chain	psbF
cytochrome b559 beta subunit	psbF
PSII cytochrome b559	psbF
photosystem II protein F	psbF
photosystem II cytochrome b559 beta submit	psbF
PSII reaction centre subunit VI	psbF
photosystem II cytchrome b559 beta subunit	psbF
photosystem II cytochrome b559 4 kDa subunit	psbF
photosystem II cytochrome b559 subunit beta	psbF
cytochromi b559 beta subunit	psbF
PSII reaction center subunit VI	psbF
PSII subunit VI	psbF
photosystem II cytochromeb559 beta subunit	psbF
cytochrome b-559 beta subunit	psbF
photosystem II cytochrome b559betasubunit	psbF
cytochromeb559 subunit beta	psbF
photosystem II reaction center subunit VI	psbF
photosystem II cytochrome b 559 beta subunit	psbF
photosystemII cytochrome b 559 beta subunit	psbF
psbF protein	psbF
photosystem II cytochrome b559 beta chain	psbF
b-559 alpha subunit	psbF
cytochrome b559 subunit beta (PSII reaction center subunit VI)	psbF
PsbF; photosystem II protein VI	psbF
photosystem II cytochrome b-559 beta subunit	psbF
photosytem II cytochrome b559 beta subunit	psbF
PSII cytochrome b559 4 kD subunit	psbF
photosystem II cytochromeb 559 beta subunit	psbF
PSII cytochrome b559 4kD subunit	psbF
photosystem II cytochrome f b559 beta subunit	psbF
cytochrome b559 beta subunit of photosystem II	psbF
photosystem II cytochrome b559 beta subunit; photosystem II protein VI	psbF
cytochrome b559 beta protein	psbF
photosystem II subunit VI	psbF
PSII cytochrome b5559 beta chain	psbF
PSII cytochrome b5559 beta subunit	psbF
PSII cytochrome b559 4kDa subunit	psbF
photosystem II protein VI (chloroplast)	psbF
photosystem II reaction center subunit 6	psbF
photosystem II cytochrome b559	psbF
photosystem II cytochromeb 559beta subunit	psbF
