Full Name	Short Name
photosystem II phosphoprotein	psbH
photosystem II protein H	psbH
photosystem II subunit H	psbH
PsbH	psbH
photosystem II 10 kDa phosphoprotein	psbH
PSII 10KDa phosphoprotein	psbH
photosystem II phosphoprotein H	psbH
photosystem II protein	psbH
photosystem II PsbH protein	psbH
photosystem II reaction center protein H	psbH
PSII H protein	psbH
PSII 10 kDa phosphoprotein	psbH
photosystem II 10kDa phosphoprotein	psbH
photosystem II phospho protein	psbH
psbH protein	psbH
PS II phosphoprotein	psbH
PSII phosphoprotein	psbH
photosystem II photosphoprotein	psbH
PsbH; photosystem II reaction center protein H	psbH
PSII 10kD phosphoprotein	psbH
photosystem II protein H-phosphoprotein	psbH
photosystem II phoshoprotein	psbH
photosystemIIphosphoprotein	psbH
10 KDa phosphoprotein of photosystem II	psbH
PSII 10 kDa phpsphoprotein	psbH
photosystem II phosphoprotei	psbH
photosystem II phosphorprotein	psbH
IIphotosystem II phosphoprotein	psbH
photosystem II protein H'	psbH
photosystem II reaction center protein 8	psbH
PSII 10kD phpsphoprotein	psbH
