Full Name	Short Name
photosystem II protein I	psbI
photosystem II subunit I	psbI
PsbI	psbI
pgotosystem II protein I	psbI
PSII I protein	psbI
photosystem II I-protein	psbI
photosystem II reaction center protein I	psbI
photosystem II PsbI protein	psbI
photosystem II proteinpsbI protein	psbI
photosystem II protein psbI protein	psbI
photosystem II protein psbI	psbI
psbI protein	psbI
PSII I-protein	psbI
PSII protein I	psbI
PsbI; photosystem II protein I	psbI
photosystem II proteion I	psbI
I polypeptide of photosystem II	psbI
photosystem II reaction center I protein I	psbI
truncated photosystem II 48-kDa I protein	psbI
PSII	psbI
photosystem II subunit ItrnS-GCU	psbI
photosystem	psbI
photosystem IIprotein I	psbI
photosystem II 48-kDa truncated I protein	psbI
photosystem II proteinI	psbI
photosistem II protein I	psbI
I protein of photosystem II	psbI
