Full Name	Short Name
photosystem II protein J	psbJ
photosystem II subunit J	psbJ
PsbJ	psbJ
PSII component	psbJ
PSII reaction centre subunit X	psbJ
photosystem II J-protein	psbJ
photosystem II PsbJ protein	psbJ
photosystem II reaction center protein J	psbJ
PSII reaction center subunit X	psbJ
hotosystem II protein J	psbJ
PSII J protein	psbJ
photosystem II reaction center subunit X	psbJ
photosystem II reaction center subunit	psbJ
photosystem II reaction center J	psbJ
psbJ protein	psbJ
PSII protein J	psbJ
photosystemIIproteinJ	psbJ
PsbJ; photosystem II reaction center subunit X	psbJ
PSII J-protein	psbJ
J-peptide	psbJ
J protein of photosystem II	psbJ
putative photosystem II protein J	psbJ
photosystem II reaction center subunit 10	psbJ
photosystem II reaction center J protein	psbJ
cytochrome f photosystem II protein J	psbJ
