Full Name	Short Name
photosystem II protein K	psbK
photosystem II subunit K	psbK
PsbK	psbK
PSII K protein	psbK
photosystem II K-protein	psbK
photosystem II reaction center protein K	psbK
photosystem II PsbK protein	psbK
photosystem II proteinpsbK	psbK
photosystem II protein psbK	psbK
psbK protein	psbK
PSII K-protein (UUG)	psbK
PSII protein K	psbK
photosystem II proteinK	psbK
PsbK; photosystem II protein K	psbK
photosytem II protein K	psbK
PSII K-protein	psbK
K protein of photosystem II	psbK
photosystem II reaction center protein K precursor	psbK
psbII K-protein	psbK
photosystem II 39-kDa K protein	psbK
photosystem II protein K (chloroplast)	psbK
photosystem lI subunit K	psbK
photosistem II protein K	psbK
