Full Name	Short Name
photosystem II protein L	psbL
photosystem II subunit L	psbL
PsbL	psbL
photosystem II reaction center subunit XII	psbL
PSII L protein	psbL
PSII reaction centre subunit XII	psbL
photosystem II L-protein	psbL
photosystem II PsbL protein	psbL
photosystem II reaction center protein L	psbL
PSII reaction center subunit XII	psbL
psbL protein	psbL
PSII protein L	psbL
PsbL; photosystem II reaction center subunit XII	psbL
PSII L-protein	psbL
L-peptide	psbL
L protein of photosystem II	psbL
photosystem II reaction center subunit 12	psbL
photosystme II proteinL	psbL
photosystme II protein L	psbL
photosystem II L protein	psbL
photosystem II proteinL	psbL
photosystemIIproteinL	psbL
