Full Name	Short Name
photosystem II protein M	psbM
PSII M protein	psbM
photosystem II subunit M	psbM
PSII low MW protein M	psbM
PsbM	psbM
photosystem II reaction center protein M	psbM
PSII low MW protein	psbM
photosystem II M-protein	psbM
photosystem II PsbM protein	psbM
photosystem II M protein	psbM
photosystem II reaction center M protein	psbM
photosystem II reaction center protein	psbM
psbM protein	psbM
PSII M-protein	psbM
PsbM; photosystem II protein M	psbM
photosystem II polypeptide M	psbM
M protein of photosystem II	psbM
cytochrome b6/f complex subunit M	psbM
photosystem II proteinM	psbM
photosystem II reactioncenter M protein	psbM
