Full Name	Short Name
photosystem II protein N	psbN
photosystem biogenesis factor 1	psbN
PsbN	psbN
photosystem II subunit	psbN
PSII N-protein	psbN
photosystem II N-protein	psbN
photosystem II subunit N	psbN
PSII N protein	psbN
Protein LOW PHOTOSYNTHETIC EFFICIENCY 1	psbN
photosystem II reaction center N	psbN
photosystem II reaction center N protein	psbN
Protein PsbN	psbN
psbN protein	psbN
PS II protein N	psbN
pphotosystem II protein N	psbN
PSII protein N	psbN
photosystem II reaction center assembly protein	psbN
PsbN; photosystem II reaction center assembly protein	psbN
photosystem II reaction center protein PsbN	psbN
N protein of photosystem II	psbN
photosystem II protein 14	psbN
photosytem II protein N	psbN
