Full Name	Short Name
photosystem II protein T	psbT
photosystem II subunit T	psbT
PsbT	psbT
PSII T protein	psbT
photosystem II T-protein	psbT
photosystem II PsbT protein	psbT
photosystem II reaction center protein T	psbT
PSII T-protein	psbT
photosystem II 5 kDa protein	psbT
photosystem II reaction center T	psbT
psbT protein	psbT
PS II protein T	psbT
PSII protein T	psbT
PsbT; photosystem II protein T	psbT
T protein of photosystem II	psbT
photosystem II protein 20	psbT
photosystem II reaction center T protein	psbT
product: photosystem II protein T	psbT
