Full Name	Short Name
photosystem II protein Z	psbZ
photosystem II subunit Z	psbZ
PsbZ	psbZ
photosystem II reaction center Z protein	psbZ
photosystem II reaction center protein Z	psbZ
photosystem II Z-protein	psbZ
photosystem II PsbZ protein	psbZ
PSII Z protein	psbZ
photosystem II reaction center Z	psbZ
Z protein of photosystem II	psbZ
psbZ protein	psbZ
photosystem II proteinZ	psbZ
PSII protein Z	psbZ
photosystem II reaction center protein Z-like protein	psbZ
photosystemI I protein Z	psbZ
PsbZ; photosystem II reaction center protein Z	psbZ
PSII protein	psbZ
PSII Z-protein	psbZ
photosystem II (PSII) core subunit	psbZ
PSII core subunit	psbZ
photosystemIIproteinZ	psbZ
hotosystem II reaction center Z protein	psbZ
photosystem II reaction center Z protein; YCF9	psbZ
photosystem II subunit psbZ	psbZ
low molecular weight transmembrane protein	psbZ
ORF62	psbZ
photosystem II reaction center Z protein YCF9	psbZ
photosystem II protein Z (Ycf9)	psbZ
Photosystem II reaction center protein Z'	psbZ
