Full Name	Short Name
ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose bisophosphate carboxylase	rbcL
ribulose-1	rbcL
ribulose bisphosphate carboxylase large subunit	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase l arge subunit	rbcL
ribulose-1,5-bisphosphate carboxylaseoxygenase large subunit	rbcL
Rubisco	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase	rbcL
large subunit of riblose-1,5-bisphosphate carboxylase/oxygenase	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit'	rbcL
ribulose-1, 5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose-1, 5-bisphosphate carboxylase/oxygenaselarge subunit	rbcL
5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose bisphosphate carboxylase large chain	rbcL
ribulose15-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose 1, 5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose15- bisphosphatecarboxylaseoxygenaselargesubunit	rbcL
ribulose-1,5-bisphosphate carboxylase	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit large subunit	rbcL
ribulose 1,5 bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose-bisphosphate carboxylase large chain	rbcL
ribulose1,5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose-1, 5-bisphosphate carboxylase/oxygenase	rbcL
ribulose 15-bisphosphate carboxylase oxygenase large subunit	rbcL
ribulose15-bisphosphate carboxylase oxygenase large subunit	rbcL
large subunit of the ribulose-bisphosphate carboxylase	rbcL
rbcL protein	rbcL
large subunit of riblose-1,5-bisphosphate carboxylase/oxygenase'	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenaselarge subunit	rbcL
ribulose-1,5 -bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose-1,5-bisphosphate	rbcL
ribulose 1,5-bisphosphate carboxylaseoxygenase large subunit	rbcL
ribulose-1,5-biphosphate carboxylase/oxygenase	rbcL
ribulose bisphosphate carboxylase	rbcL
ribulose 1,5-bisphosphate carbosylase/oxygenase large subunit	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenase	rbcL
ribulose 1 5-bisphosphate carbosylase/oxygenase large subunit	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit1	rbcL
ribulose-1,5-bisphosphate carboxylase oxygenase	rbcL
RbcL; ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose 15 bisphosphate carboxylase oxygenase large subunit	rbcL
large subunit of riblose-1,5-bisphosphatecarboxylase/oxygenase	rbcL
ribulose biphosphate carboxylase	rbcL
ribulose 1,5-biphosphate carboxylase large subunit	rbcL
ribulose-1,5-bisphosphate carboxylase large subunit	rbcL
ribulose 1,5-biphosphate carboxylase/oxgenase large subunit	rbcL
ribulose-1,5-bisphosphate caroxylase/oxygenase	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase large subun	rbcL
ribulose-15-bisphosphate carboxylase/oxygenase large subunit	rbcL
RuBisCO,Ribulose Bisphosphate Carboxylase/Oxygenase large subunit	rbcL
ribulose 1,5-bisphosphate carboxylase oxygenase large subunit	rbcL
ribulose bisphosphate carboxylase large chain precursor	rbcL
ribulose-1-5-bisphosphate carboxylase/oxygenase large subunit	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit protein	rbcL
ribulose-15-bisphosphate carboxylase/oxygenaselarge subunit	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase, large subunit	rbcL
ribulose-1,5-bisphosphatecarboxylase/oxygenase, large subunit	rbcL
ribulose-1,5-bisphosphate carboxylase/oxygenase large subuni	rbcL
ribulose 1,5-bisphosphate carboxylase/oxygenaselarge subunit	rbcL
large subunit of RuBisCO	rbcL
ribulose-bisphosphate carboxylase large subunit	rbcL
ribulose-1,5-bisphosphate carboxlyase/oxygenase	rbcL
