Full Name	Short Name
ribosomal protein L16	rpl16
50S ribosomal protein L16	rpl16
60S ribosomal protein L11	rpl16
ribosobal protein L16	rpl16
ribsomal protein L16	rpl16
large subunit ribosomal protein L16	rpl16
rpl16 protein	rpl16
rpl16	rpl16
rpl16 CDS	rpl16
Rpl16; ribosomal protein L16	rpl16
ribosomal protein L6	rpl16
product ribosomal protein L16	rpl16
ribisomal protein L16	rpl16
50S ribosomal protein L16, chloroplastic	rpl16
ribosomal proteinL 16	rpl16
ribosomal protein L16 protein	rpl16
