Full Name	Short Name
RNA polymerase alpha subunit	rpoA
RpoA	rpoA
RNA polymerase alpha chain	rpoA
RNA polymerase a-subunit	rpoA
RNA polymerase subunit alpha	rpoA
DNA-directed RNA polymerase alpha subunit	rpoA
DNA-directed RNA polymerase alpha chain	rpoA
RNA polymerase alphasubunit	rpoA
RNA polymerasealpha subunit	rpoA
RNApolymerasealphasubunit	rpoA
rpoA protein	rpoA
RpoA; RNA polymerase alpha subunit	rpoA
RNA polymerase alpha	rpoA
RNApolymerase alpha subunit	rpoA
DNA0-directed RNA polymerase alpha subunit	rpoA
alpha subunit of RNA polymerase	rpoA
RNA polymerase alpha subunit protein	rpoA
RNA polymerase subunit A	rpoA
DNA-directed RNA polymerase alpha protein	rpoA
RNA polymerase alpha-subunit	rpoA
RNA polymerase α-subunit	rpoA
RNA polymerase alpha-chain	rpoA
