Full Name	Short Name
RNA polymerase beta subunit	rpoB
RpoB	rpoB
RNA polymerase beta chain	rpoB
RNA polymerase b-subunit	rpoB
RNA polymerase subunit beta	rpoB
DNA-directed RNA polymerase beta subunit	rpoB
RNA polymerase subunit	rpoB
DNA-directed RNA polymerase beta chain	rpoB
RNA polymerase beta subunit II	rpoB
RNA polymerase bsubunit	rpoB
RNApolymerase beta subunit	rpoB
rpoB protein	rpoB
Glutamate 5-kinase	rpoB
one of four subunits of the minimal PEP RNA polymerase catalytic core	rpoB
RpoB; RNA polymerase beta subunit	rpoB
beta subunit of RNA polymerase	rpoB
DNA-directed RNA polymerase beta protein	rpoB
RNA polymerase B	rpoB
