Full Name	Short Name
RNA polymerase beta'' subunit	rpoC2
RNA polymerase beta''subunit	rpoC2
RpoC2	rpoC2
RNA polymerase beta'' chain	rpoC2
RNA polymerase b'-subunit	rpoC2
RNA polymerase b subunit	rpoC2
RNA polymerase subunit beta''	rpoC2
DNA-directed RNA polymerase beta' subunit	rpoC2
RNA polymerase beta subunit' subunit	rpoC2
DNA-directed RNA polymerase beta' chain	rpoC2
RNA polymerase beta' subunit-2	rpoC2
RNA polymerase betasubunit	rpoC2
RNA polymerase beta II subunit	rpoC2
RNA polymerase beta subunit-2	rpoC2
RNA polymerase beta subunit'' subunit	rpoC2
DNA-directed RNA polymerase beta'' subunit	rpoC2
DNA-directed RNA polymerase beta'' chain	rpoC2
RNA polymerase b''-subunit	rpoC2
RNA polymerase beta'''' subunit	rpoC2
rpoC2 protein	rpoC2
RNA polymerase beta' subunit 2	rpoC2
RpoC2; RNA polymerase beta'' subunit	rpoC2
RNA polymerase beta ' subunit	rpoC2
RNA polymerase protein C2	rpoC2
bet'' subunit of RNA polymerase	rpoC2
RNA polymerase beta '' subunit	rpoC2
RNA polymerse beta II subunit	rpoC2
tRNA polymerase beta'' subunit	rpoC2
RNA poymerase beta subunit-2	rpoC2
RNA polymerase beta subunit 2	rpoC2
RNA polymerasebetasubunit	rpoC2
DNA-directed RNA polymerase beta'' protein	rpoC2
RNA polymerase b'-subunit-2	rpoC2
RNA polymerase beta II chain	rpoC2
beta'' subunit of RNA polymerase	rpoC2
RNApolymerasebetasubunit	rpoC2
