Full Name	Short Name
ribosomal protein S4	rps4
30S ribosomal protein S4	rps4
small ribosomal protein 4	rps4
Disease resistance protein RPS4	rps4
chloroplast 30S ribosomal protein S4	rps4
small subunit ribosomal protein S4	rps4
rps4 protein	rps4
ribsoomal protein S4	rps4
ribosomal protein S4''	rps4
Disease resistance protein (TIR-NBS-LRR class) family	rps4
rps4	rps4
Rps4; ribosomal protein S4	rps4
40S ribosomal protein S4	rps4
ribosomal protein S4 protein	rps4
ribosomal protein subunit 4	rps4
30S ribosomal protein S4, chloroplastic	rps4
30S ribosomal protein S	rps4
ribosomal proteinS4	rps4
