Full Name	Short Name
photosystem I assembly protein Ycf3	ycf3
hypothetical chloroplast RF34	ycf3
Ycf3	ycf3
hypothetical chloroplast RF3	ycf3
ycf3 protein	ycf3
hypothetical protein Ycf3	ycf3
hypothetical chloroplast Ycf3	ycf3
photosystem I assemlby protein Ycf3	ycf3
Hypothetical chloroplast protein RF34	ycf3
photosystem I assembly protein	ycf3
Ycf3-interacting protein 1	ycf3
hypothetical chloroplast	ycf3
hypotheticalchloroplastRF34	ycf3
conserved hypothetical chloroplast protein ycf3	ycf3
hypothetical RF34	ycf3
putative chloroplast RF34	ycf3
photosystem I assembly factor Ycf3	ycf3
PSI assembly protein Ycf3	ycf3
hypothetical chloroplast R34	ycf3
hypothetical chloroplast protein Ycf3	ycf3
hypothetical lchloroplast RF34	ycf3
Ycf3; photosystem I assembly protein	ycf3
'photosystem I assembly protein Ycf3	ycf3
PSI accumulation protein	ycf3
photosystem I assembly protein Ycf3, hypothetical chloroplast RF34	ycf3
putative RF3 protein	ycf3
photosystemI assembly protein Ycf3	ycf3
photosystem I assembly related protein	ycf3
photosystem I assembly protein Ycf	ycf3
intron containing RF(IRF168)	ycf3
plant protein of unknown function/hypothetical chloroplast RF34	ycf3
photosystem I assembly protein Ycf3 (chloroplast)	ycf3
photosystem I apoprotein A1	ycf3
PSI assembly factor I	ycf3
hypothetical chloroplast RF34; photosystem I assembly protein ycf3	ycf3
Ycf 3	ycf3
photosystem I assembly protein RF34	ycf3
Putative membrane protein Ycf3	ycf3
hypothetical protein RF3	ycf3
