Full Name	Short Name
small subunit ribosomal RNA	12S
s-rRNA	12S
12S ribosormal RNA	12S
small ribosomal RNA subunit RNA	12S
12SrRNA	12S
12 ribosomal RNA	12S
rrnS	12S
12S ribosomal RNA subunit	12S
12S	12S
small ribosomal RNA	12S
small subunit ribosormal RNA	12S
12 rRNA	12S
12 S ribosomal RNA	12S
12S small subunit ribosomal RNA	12S
trnS	12S
Product small subunit ribosomal RNA	12S
12S-rRNA	12S
rRNA-12S	12S
12S ribosonal RNA	12S
12Srrn	12S
12S ribosome RNA	12S
12S ribsomal RNA	12S
12S rRNA	12S
12S ribosomal RNA	12S
12S ribosomal ribonucleic acid	12S
