Full Name	Short Name
ATPase F0 subunit 6	ATP6
ATP synthase F0 subunit 6	ATP6
ATP synthase subunit 6	ATP6
ATPase 6	ATP6
ATP6	ATP6
ATP synthase FO subunit 6	ATP6
ATP synthase protein 6	ATP6
ATPase subunits 6	ATP6
ATP subunit 6	ATP6
ATPase subunit-6	ATP6
ATP synthase subunit F0 6	ATP6
adenosine triphosphatase subunit 6	ATP6
ATP synthase subunit-6	ATP6
ATP sythase F0 subunit 6	ATP6
ATPase 6 protein	ATP6
ATP synthase 6	ATP6
ATP synthetase F0 Subunit 6	ATP6
ATPase subuint 6	ATP6
ATPase sununit 6	ATP6
ATPase6 protein	ATP6
ATP Synthase Membrane Subunit 6	ATP6
TP synthase F0 subunit 6	ATP6
ATP sybthase F0 subunit 6	ATP6
ATP6ase	ATP6
ATP synthase A chain protein 6	ATP6
ATP synthetase subunit 6	ATP6
F0/F1 ATP synthase subunit 6	ATP6
disrupted ATP synthase F0 subunit 6	ATP6
ATPsynthase F0 subunit 6	ATP6
F1 ATPase subunit 6	ATP6
ATP sythase subunit 6	ATP6
adenine triphosphatase subunit 6	ATP6
F0-ATP synthase subunit 6	ATP6
F0-ATP synthase subunit6	ATP6
F0-ATPase subunit6	ATP6
ATP 6synthase 6	ATP6
adenosine triphosphate subunit 6	ATP6
ATPase subunit 6	ATP6
ATPase6	ATP6
adenosine triphosphate synthase-6	ATP6
