Full Name	Short Name
COX1	COI
cytochrome c oxidase subunit 1	COI
cytochrome oxidase gene	COI
coxidase subunit I	COI
COX	COI
c oxidase subunits I	COI
cytochrome-c-oxidase I	COI
Cytochrome Oxidase subunit I region	COI
c-oxidase subunit I	COI
c oxi- dase I	COI
c oxidase subunit-I	COI
cytochrome oxidase I region	COI
cytochrome oxydase I	COI
c oxydase I	COI
cytochrome-oxidase 1	COI
C Oxidase Gene Subunit-I	COI
C Oxidation I	COI
c oxidase I subunit	COI
cytochrome c oxidase I	COI
Cythocrome Oxidase I	COI
cytochrome oxidase I subunit	COI
Citochrome Oxidase I	COI
cytochromec oxidase I	COI
c oxidase submit I	COI
c oxidase unit I	COI
c oxidate subunit I	COI
cytochrome I	COI
cytochome oxidase subunit I	COI
cytochrome-c oxidase, subunit I	COI
cytochrome b oxidase subunit I	COI
cytochrome subunit I	COI
cytochrome-oxidase I	COI
COX-1	COI
cytochromoxidase I	COI
cytochrome oxidase 1	COI
cytochrome oxidase subunit 1	COI
cytochrome oxidase I	COI
C Oxidase type I	COI
cytochrome oxidase subunit I	COI
cytochrome oxidase I locus	COI
c oxidase subunit I sequences	COI
coxidase I	COI
c oxidase subunit I locus	COI
Cytochrome Oxidase unit I	COI
cytochrome oxidase subunits I	COI
cytochrome oxidase subunit I mtDNA	COI
cytochrome C oxidase subunit I	COI
Markers-Cytochrome Oxidase Subunit I	COI
C Oxidase, Subunit I	COI
chytochrome c oxidase subunit I	COI
I	COI
cytochrome oxidase subunit-1	COI
Cytochrome oxydase subunit 1	COI
cytochrome c oxidase subunit idase subunit I	COI
cytochrome c-oxidase subunit I	COI
cytochrome c oxidase subunits I	COI
cytchrome c oxidase subunit I	COI
subunit 1 of the cytochrome c oxidase	COI
cytochorome oxidase subunit I	COI
COI	COI
cytochrome c oxydase subunit 1	COI
cytochrome oxidase1	COI
COI protein	COI
cyt oxidase subunit 1	COI
cytochrome oxidase c subunit 1	COI
cytochrome oxidase c subunit I	COI
cytochrome oxydase subunit I	COI
cytochrome c oxidase polypeptide I	COI
cytochrome coxidase subunit I	COI
cytochrome c-oxidase subunit 1	COI
cytochrome c oxidase polypeptide 1	COI
CO I	COI
product: cytochrome c oxidase subunit I	COI
cytochome c oxidase subunit 1	COI
Cytochrome c oxidase subunit1	COI
cytochrome coxidase subunit 1	COI
cytochrome c oxidase subunit I	COI
