Full Name	Short Name
COX-2	COII
c oxidase subunit II gene	COII
cytochrome oxidase II gene	COII
cytochrome oxidase subunit II gene	COII
cytochrome oxidase subunit II region	COII
coxidase subunit II	COII
c oxidase II gene	COII
cytochrome oxidase-II	COII
cytochrome c oxidase subunit 2	COII
chytochrome c oxidase subunit II	COII
II	COII
cytochrome c oxidase subunit II	COII
cytochrome oxidase subunit II	COII
cytochrome oxidase subunit 2	COII
cytohrome oxidase subunit II	COII
cytochrome oxidase subunit-2	COII
Cytochrome oxydase subunit 2	COII
cytochrome c oxidase subunit idase subunit II	COII
cytochrome c-oxidase subunit II	COII
cytochrome c oxidase subunits II	COII
cytochrome c oxidase II	COII
cytochrome oxidase II	COII
cytchrome c oxidase subunit II	COII
subunit 2 of the cytochrome c oxidase	COII
COX2	COII
cytochorom oxidase subunit II	COII
COII	COII
cytochrome c oxydase subunit 2	COII
CO2	COII
cytochrome oxidase subunit2	COII
COII protein	COII
cyt oxidase subunit 2	COII
cytochrome oxidase c subunit 2	COII
cytochrome oxidase c subunit II	COII
cytochrome oxydase subunit II	COII
cytochrome c oxidase polypeptide II	COII
cytochrome coxidase subunit II	COII
cytochome oxidase II	COII
cytochrome c-oxidase subunit 2	COII
cytochrome c oxidase polypeptide 2	COII
CO II	COII
cytochome c oxidase subunit 2	COII
Cytochrome c oxidase subunit2	COII
cytochrome coxidase subunit 2	COII
cytochome oxidase subunit 2	COII
C-terminal domain of Cytochrome c Oxidase subunit II	COII
