Full Name	Short Name
cytochrome oxidase subunit III gene	COIII
c oxidase subunit III gene	COIII
COX3	COIII
COX 3	COIII
COX-3	COIII
c oxidase mitochondrial subunit III	COIII
cytochrome c oxidase subunit 3	COIII
cytochrome c oxidase subunit III	COIII
chytochrome c oxidase subunit III	COIII
cytochrome oxidase subunit III	COIII
cytochrome oxidase subunit 3	COIII
cytohrome oxidase subunit III	COIII
cyctochrome c oxidase subunit III	COIII
cutochrome oxidase subunit 3	COIII
cytochrome oxidase subunit-3	COIII
Cytochrome oxydase subunit 3	COIII
cytochrome c oxidase subunit idase subunit III	COIII
cytochrome c-oxidase subunit III	COIII
cytochrome c oxidase subunits III	COIII
cytochrome c oxidase III	COIII
cytochrome oxidase III	COIII
cytchrome c oxidase subunit III	COIII
subunit 3 of the cytochrome c oxidase	COIII
cytochorome oxidase subunit III	COIII
COIII	COIII
cytochrome c oxydase subunit 3	COIII
CO3	COIII
cytochrome oxidase subunit3	COIII
cytochrome coxidase subunit III	COIII
COIII protein	COIII
cyt oxidase subunit 3	COIII
cytochrome oxidase c subunit 3	COIII
cytochrome oxidase c subunit III	COIII
cytochrome oxydase subunit III	COIII
cytochrome co oxidase subunit III	COIII
cytochrome c oxidase subnunit III	COIII
cytochrome oxidase sununit 3	COIII
Cytochrome c oxidase polypeptide III	COIII
cytochrome C oxidase asubunit 3	COIII
cytochrome c oxidase sununit III	COIII
cytochrome c-oxidase subunit 3	COIII
cytochrome c oxidase polypeptide 3	COIII
CO III	COIII
cytochome c oxidase subunit 3	COIII
cytochrome c oxidase subunit3	COIII
cytochrome coxidase subunit 3	COIII
