Full Name	Short Name
Control region	Control Region
non-coding region	Control Region
putative control region	Control Region
control region 1	Control Region
control region ii	Control Region
control region i	Control Region
control region 2	Control Region
noncoding region	Control Region
pseudo control region	Control Region
cr	Control Region
control region (d-loop)	Control Region
d-loop control region	Control Region
similar to control region	Control Region
non coding region	Control Region
conrol region	Control Region
region: control region	Control Region
a+t-rich region	Control Region
putative control region 2	Control Region
d-loop region (= control reagion)	Control Region
pseudo contorl region	Control Region
a+t rich region	Control Region
c-rich region	Control Region
largest non-coding region	Control Region
d-loop	Control Region
d loop	Control Region
control region cr	Control Region
the control region	Control Region
control region c-rich sequence	Control Region
control region coretas sequence	Control Region
putative d-loop/control region	Control Region
d-loop containing region	Control Region
a+t rich	Control Region
at-rich region	Control Region
