Full Name	Short Name
NADH dehydrogenase subunit 2	ND2
NADH dehydrogenase subunit-2	ND2
#NADH dehydrogenase subunit 2	ND2
NADH denydrogenase subunit 2	ND2
NADH dehydrogenase 2	ND2
NADH dehydrogenase subunits 2	ND2
NADH dehydrogenase subunit #2	ND2
subunit 2 of the NADH ubiquinone oxidoreductase complex	ND2
NADH deydrogenase subunit 2	ND2
NADH dehydrogenase subnit 2	ND2
ND2	ND2
NADH dehydrogenase subunit II	ND2
NADH2	ND2
NADH2 protein	ND2
NADH subunit 2	ND2
NADH-ubiquinone oxidoreductase chain 2	ND2
NADH dehdrogenase subnuit 2	ND2
NADH-ubiquinone oxidoreductase subunit II	ND2
NADH 2	ND2
NADH dehydrogenase subumit 2	ND2
NADH-ubiquinone oxidoreductase subunit 2	ND2
NADH ubiquinone oxidoreductase subunit 2	ND2
NADH dehydrognase subunit II	ND2
nicotinamide adenine dinucleotide dehydrogenase subunit 2	ND2
NADH dehydrogenase subunit2	ND2
