Full Name	Short Name
NADH dehydrogenase subunit 4L	ND4L
NADH dehydrogenase subunit-4L	ND4L
NADH denydrogenase subunit 4L	ND4L
NADH dehydrogenase 4L	ND4L
ND4L	ND4L
NADH dehydrogenase subunits 4L	ND4L
subunit ND4L of the NADH ubiquinone oxidoreductase complex	ND4L
NADH4L protein	ND4L
NADH dehydrogenase subnit 4L	ND4L
NADH4L	ND4L
NADH dehydrogenase subunit 4 L	ND4L
NADH dehydrogenase subunit IV L	ND4L
NADH subunit 4L	ND4L
NADH-ubiquinone oxidoreductase chain 4L	ND4L
NADH-ubiquinone oxidoreductase subunit 4L	ND4L
NADH dehydrogenase, subunit 4L (complex I)	ND4L
NADH 4L	ND4L
NADH dehydrogenase subumit 4L	ND4L
HADH dehydrogenase 4L	ND4L
NADH dehydrogenase subujnit 4L	ND4L
NADH ubiquinone oxidoreductase subunit 4L	ND4L
nicotinamide adenine dinucleotide dehydrogenase subunit 4L	ND4L
NADH dehydrogenase subunit4L	ND4L
